infinitive,class,stress
катапульти́ровать,2,a
подпили́ть,4,c
вгиба́ть,1,a
испили́ть,4,c
вогну́ть,3,b
створи́ть,4,b
покрича́ть,5,b
повоева́ть,2,a
поборо́ться,10,c
ла́пать,1,a
противобо́рствовать,2,a
помечта́ть,1,a
попо́льзоваться,2,a
понаде́яться,6,a
раскости́ть,4,b
озна́чить,4,a
скости́ть,4,b
клепа́ть,1,a
помеша́ться,1,a
откупи́ть,4,c
облицева́ть,2,a
облицо́вывать,1,a
откупа́ть,1,a
ча́хнуть,3,a
навари́ть,4,c
нава́ривать,1,a
объе́сть,irreg,
объеда́ть,1,a
перероди́ть,4,b
перерожда́ть,1,a
переориенти́ровать,2,a
истоми́ть,4,b
перегре́ть,12,a
истомля́ть,1,a
вы́служить,4,a
перенапря́чь,8,b
выслу́живать,1,a
передра́ться,6,b
перенапряга́ть,1,a
размежева́ть,2,a
перегрева́ться,1,a
перегрева́ть,1,a
перегре́ться,12,a
размежёвывать,1,a
удорожи́ться,4,b
межева́ть,2,a
позициони́ровать,2,a
че́ствовать,2,a
удорожа́ть,1,a
изли́ть,11,b
возгоре́ться,5,b
детализи́ровать,2,a
излива́ть,1,a
возгора́ться,1,a
удорожа́ться,1,a
возгоре́ть,5,b
возгора́ть,1,a
удорожи́ть,4,b
перепрода́ть,irreg,
наслои́ть,4,b
разме́тить,4,a
насла́ивать,1,a
перепродава́ть,13,b
размеча́ть,1,a
слои́ть,4,b
отщепля́ться,1,a
отщепля́ть,1,a
отщепи́ть,4,b
отщепи́ться,4,b
недослу́шать,1,a
недослу́шивать,1,a
увеща́ть,1,a
увещева́ть,1,a
разобща́ть,1,a
разобщи́ть,4,b
заква́сить,4,a
заква́шивать,1,a
гармонизова́ть,2,a
dɛgustírovatʹ,2,a
ква́сить,4,a
измы́слить,4,a
измышля́ть,1,a
досмотре́ть,5,c
досма́тривать,1,a
здорове́ть,1,a
перевоспита́ть,1,a
омолоди́ть,4,b
перевоспи́тывать,1,a
омола́живать,1,a
недосмотре́ть,5,c
молоди́ть,4,b
поздорове́ть,1,a
гармонизи́ровать,2,a
досягну́ть,3,b
отгуля́ть,1,a
досяга́ть,1,a
дозапра́вить,4,a
дозапра́виться,4,a
дозаправля́ться,1,a
апроби́ровать,2,a
поляризова́ть,2,a
дозаправля́ть,1,a
кувырка́ть,1,a
разворо́вывать,1,a
расхища́ть,1,a
раскра́дывать,1,a
глуми́ть,4,b
децентрализова́ть,2,a
разворова́ть,2,a
расхи́тить,4,a
раскра́сть,7,b
подтасова́ть,2,a
подтасо́вывать,1,a
бода́ть,1,a
скря́бать,1,a
пырну́ть,3,b
ледене́ть,1,a
занаве́сить,4,a
занаве́шивать,1,a
побели́ть,4,c
стыкова́ться,2,a
рефинанси́ровать,2,a
национализи́ровать,2,a
структури́ровать,2,a
стря́пать,1,a
закла́ть,6,c
переобору́довать,2,a
вы́пендриться,4,a
дози́ровать,2,a
консульти́ровать,2,a
подте́чь,8,b
обнища́ть,1,a
подтека́ть,1,a
проконсульти́ровать,2,a
надруга́ться,1,a
занумерова́ть,2,a
пронумерова́ть,2,a
консульти́роваться,2,a
нища́ть,1,a
номерова́ть,2,a
проконсульти́роваться,2,a
нумерова́ть,2,a
замири́ть,4,b
камла́ть,1,a
расплева́ться,2,b
заре́чься,8,b
заре́чь,8,b
зарека́ть,1,a
зарека́ться,1,a
кристаллизова́ть,2,a
переплани́ровать,2,a
перепланирова́ть,2,a
перемкну́ть,3,b
перемыка́ть,1,a
побря́кать,1,a
опили́ть,4,c
побря́кивать,1,a
опи́ливать,1,a
примочи́ть,4,c
прима́чивать,1,a
терроризи́ровать,2,a
соиска́ть,6,c
поши́ть,11,b
распыли́ть,4,b
распыля́ть,1,a
перекупи́ть,4,c
перекупа́ть,1,a
луди́ть,4,c
восторга́ть,1,a
обка́чивать,1,a
профани́ровать,2,a
обката́ть,1,a
обкати́ть,4,c
инкрусти́ровать,2,a
обка́тывать,1,a
постри́чь,8,b
пересту́кать,1,a
переоснасти́ть,4,b
переоснаща́ть,1,a
преломи́ть,4,c
пересту́кивать,1,a
оси́пнуть,3,a
пострига́ть,1,a
акциони́ровать,2,a
преломля́ть,1,a
сервирова́ть,2,a
серви́ровать,2,a
забастова́ть,2,a
перетруди́ться,4,c
перетружда́ться,1,a
спекули́ровать,2,a
навяза́ться,6,c
навя́зываться,1,a
обожествля́ть,1,a
обдури́ть,4,b
похе́рить,4,a
расплавля́ться,1,a
обду́ривать,1,a
распла́виться,4,a
сла́зить,4,a
отъе́сть,irreg,
отъеда́ть,1,a
огоро́шить,4,a
изъе́здить,4,a
зонди́ровать,2,a
обозна́ться,1,a
дра́пать,1,a
побаза́рить,4,a
база́рить,4,a
срабо́таться,1,a
умили́ть,4,b
всоса́ть,6,b
умиля́ть,1,a
воспали́ться,4,b
осяза́ть,1,a
воспаля́ться,1,a
вса́сывать,1,a
электрифици́ровать,2,a
задро́тить,4,a
замышля́ть,1,a
осатане́ть,1,a
сатане́ть,1,a
недоперепи́ть,11,b
дезерти́ровать,2,a
вознагради́ть,4,b
вознагражда́ть,1,a
сканди́ровать,2,a
скани́ровать,2,a
саботи́ровать,2,a
упа́ривать,1,a
упа́рить,4,a
лягну́ть,3,b
ляга́ть,1,a
мори́ть,4,b
влачи́ть,4,b
умаля́ться,1,a
засова́ть,2,b
гравирова́ть,2,a
изъе́хать,irreg,
изъезжа́ть,1,a
цука́ть,1,a
понти́ровать,2,a
нагина́ть,1,a
созвони́ться,4,b
созва́ниваться,1,a
примелька́ться,1,a
ушиби́ться,irreg,
обеззара́живать,1,a
дезинфици́ровать,2,a
довле́ть,1,a
умири́ть,4,b
оболжи́вить,4,a
фальши́вить,4,a
цензурова́ть,2,a
цензи́ровать,2,a
причеса́ться,6,c
причёсываться,1,a
расчёсываться,1,a
расчеса́ться,6,c
полоши́ть,4,b
плоди́ться,4,b
матирова́ть,2,a
плоди́ть,4,b
ска́ть,6,b
нацени́ть,4,c
вы́кроиться,4,a
вы́кроить,4,a
отлови́ть,4,c
прирасти́ть,4,b
выкра́ивать,1,a
выкра́иваться,1,a
отла́вливать,1,a
наце́нивать,1,a
прира́щивать,1,a
норми́ровать,2,a
посягну́ть,3,b
соврати́ть,4,b
совраща́ть,1,a
посяга́ть,1,a
глаго́лить,4,a
надъе́сть,irreg,
надъеда́ть,1,a
заархиви́ровать,2,a
неня́ть,14,b
противоположи́ть,4,c
компости́ровать,2,a
удо́брить,4,a
утончи́ть,4,b
утонча́ть,1,a
обедни́ть,4,b
заснежи́ть,4,b
потаи́ть,4,b
обедня́ть,1,a
окайми́ть,4,b
разветви́ть,4,b
окаймля́ть,1,a
разветвля́ть,1,a
снежи́ть,4,b
обезле́сить,4,a
обессме́ртить,4,a
озолоти́ть,4,b
обезлю́дить,4,a
обезле́сивать,1,a
обезору́жить,4,a
обезору́живать,1,a
обезлю́живать,1,a
обже́чься,8,b
ги́нуть,3,a
засуши́ть,4,c
захлёстывать,1,a
алалы́кать,1,a
стушева́ться,2,a
простимули́ровать,2,a
улыбну́ть,3,b
номини́ровать,2,a
дубли́роваться,2,a
приже́чь,8,b
стыди́ть,4,b
прижига́ть,1,a
си́пнуть,3,a
упоко́ить,4,a
остекли́ть,4,b
помрачи́ть,4,b
остекля́ть,1,a
упокоева́ть,1,a
помрача́ть,1,a
пока́шливать,1,a
причаща́ть,1,a
ну́дить,4,a
нуди́ть,4,b
мрачи́ть,4,b
подпита́ть,1,a
обольсти́ть,4,b
подпи́ть,11,b
подпи́тывать,1,a
обольща́ть,1,a
причасти́ть,4,b
перепе́ть,12,b
рассмеши́ть,4,b
перепи́ть,11,b
перепива́ть,1,a
перепая́ть,1,a
перепои́ть,4,c
отти́скать,1,a
отти́снуть,3,a
перепа́ивать,1,a
перепева́ть,1,a
пая́ть,1,a
отти́скивать,1,a
впры́снуть,3,a
впры́скивать,1,a
переси́ливать,1,a
декори́ровать,2,a
социализи́ровать,2,a
синхронизи́ровать,2,a
подка́пать,1,a
удешеви́ть,4,b
растли́ть,4,b
похолода́ть,1,a
удешевля́ть,1,a
уро́чить,4,a
тли́ть,4,b
перека́чивать,1,a
иллюмини́ровать,2,a
реинкарни́ровать,2,a
растлева́ть,1,a
эмансипи́ровать,2,a
недофинанси́ровать,2,a
подка́пывать,1,a
перекача́ть,1,a
коммерциализи́ровать,2,a
просуши́ть,4,c
сконча́ть,1,a
просу́шивать,1,a
истопи́ть,4,c
иста́пливать,1,a
дрессирова́ть,2,a
подкопа́ть,1,a
анкети́ровать,2,a
коопери́ровать,2,a
перерасхо́довать,2,a
изверну́ться,3,b
сла́живать,1,a
извора́чиваться,1,a
извёртываться,1,a
сла́дить,4,a
слади́ть,4,b
экспроприи́ровать,2,a
увесели́ть,4,b
увеселя́ть,1,a
оцепи́ть,4,c
оцепля́ть,1,a
ме́шкать,1,a
противоде́йствовать,2,a
потеша́ться,1,a
усредни́ть,4,b
усредня́ть,1,a
ха́ркнуть,3,a
ха́ркать,1,a
докона́ть,1,a
мяу́кнуть,3,a
почи́ть,12,a
чири́кать,1,a
мя́млить,4,a
прозяба́ть,1,a
гнуша́ться,1,a
чири́кнуть,3,a
распряга́ть,1,a
нахлобу́чивать,1,a
распря́чь,8,b
нахлобу́чить,4,a
фальсифици́ровать,2,a
мяу́кать,1,a
dɛmobilizovátʹ,2,a
дура́чить,4,a
злора́дствовать,2,a
малева́ть,2,a
смакова́ть,2,a
обволо́чь,8,b
затоскова́ть,2,a
отреставри́ровать,2,a
обвола́кивать,1,a
среаги́ровать,2,a
бе́дствовать,2,a
делеги́ровать,2,a
dɛgradírovatʹ,2,a
реставри́ровать,2,a
промыча́ть,5,b
пору́шить,4,a
ворохну́ть,3,b
подмя́ть,14,b
присво́иться,4,a
отфильтрова́ть,2,a
разде́лать,1,a
нашепта́ть,6,c
погря́знуть,3,a
обмере́ть,9,b
терза́ться,1,a
задолжа́ть,1,a
обкра́дывать,1,a
пере́чить,4,a
подмина́ть,1,a
отмолча́ться,5,b
отма́лчиваться,1,a
отфильтро́вывать,1,a
обокра́сть,7,b
уследи́ть,4,b
начита́ть,1,a
сослужи́ть,4,c
приобрести́сь,7,b
разде́латься,1,a
погряза́ть,1,a
ущеми́ть,4,b
взви́нчивать,1,a
начита́ться,1,a
вороши́ть,4,b
нашёптывать,1,a
наче́сть,7,b
присва́иваться,1,a
распрода́ть,irreg,
участи́ть,4,b
обольсти́ться,4,b
ущемля́ть,1,a
улету́чить,4,a
фильтрова́ть,2,a
размыва́ть,1,a
сплести́сь,7,b
похваля́ть,1,a
подкра́сить,4,a
взвинти́ть,4,b
прораба́тывать,1,a
начи́тывать,1,a
подсвети́ть,4,c
обольща́ться,1,a
уедини́ть,4,b
хвали́ться,4,c
сплета́ться,1,a
уедини́ться,4,b
распродава́ть,13,b
учаща́ть,1,a
приобрета́ться,1,a
посвяща́ться,1,a
похвали́ться,4,c
отобража́ть,1,a
участи́ться,4,b
возда́ть,irreg,
искуша́ть,1,a
улету́читься,4,a
главе́нствовать,2,a
воздава́ть,13,b
усле́живать,1,a
разде́лывать,1,a
учаща́ться,1,a
похваля́ться,1,a
разве́яться,6,a
провороти́ть,4,c
проверте́ть,5,c
обрабо́таться,1,a
проверну́ть,3,b
разде́лываться,1,a
искуси́ть,4,b
уединя́ть,1,a
заверну́ться,3,b
обмира́ть,1,a
прове́рчивать,1,a
завороти́ться,4,c
подсве́чивать,1,a
провёртывать,1,a
созида́ть,1,a
воспроизвести́сь,7,b
эвакуи́роваться,2,a
преобразо́вываться,1,a
воспроизводи́ться,4,c
провора́чивать,1,a
подкра́шивать,1,a
обраба́тываться,1,a
материализова́ться,2,a
размы́ть,12,a
завора́чиваться,1,a
посвяти́ться,4,b
завёртываться,1,a
улету́чиваться,1,a
отобрази́ть,4,b
тяготи́ться,4,b
улету́чивать,1,a
начи́тываться,1,a
материализова́ть,2,a
дифференци́ровать,2,a
уединя́ться,1,a
усложни́ться,4,b
развева́ть,1,a
уточни́ться,4,b
умили́ться,4,b
разве́иваться,1,a
разгу́ливаться,1,a
уточня́ться,1,a
преобразова́ться,2,a
сплета́ть,1,a
индуци́ровать,2,a
усложня́ться,1,a
умиля́ться,1,a
разгуля́ться,1,a
заёрзать,1,a
урва́ть,6,b
отчи́тывать,1,a
вы́лизать,6,a
испро́бовать,2,a
превозмо́чь,8,c
урыва́ть,1,a
наползти́,7,b
отчита́ть,1,a
выли́зывать,1,a
возмо́чь,8,c
продержа́ть,5,c
доса́довать,2,a
превозмога́ть,1,a
затре́бовать,2,a
прожда́ть,6,b
накрути́ть,4,c
ингиби́ровать,2,a
инактиви́ровать,2,a
зашифрова́ть,2,a
накрахма́лить,4,a
замурова́ть,2,a
филосо́фствовать,2,a
окрыли́ть,4,b
обласка́ть,1,a
мурова́ть,2,a
подмыва́ть,1,a
сле́чь,8,a
начиня́ть,1,a
начи́нивать,1,a
заслу́шать,1,a
изъяви́ть,4,c
заслы́шать,5,a
замуро́вывать,1,a
затми́ть,4,b
набря́кнуть,3,a
накрахма́ливать,1,a
вы́красть,7,a
окрыля́ть,1,a
хны́кать,6,a
напу́тствовать,2,a
вы́карабкаться,1,a
навороти́ть,4,c
помно́жить,4,a
затмева́ть,1,a
увекове́чить,4,a
тми́ть,4,b
наску́чивать,1,a
помножа́ть,1,a
обла́скивать,1,a
набряка́ть,1,a
выкра́дывать,1,a
обжа́рить,4,a
заслу́шивать,1,a
наве́рчивать,1,a
демонти́ровать,2,a
интригова́ть,2,a
изъявля́ть,1,a
рабо́таться,1,a
транспорти́ровать,2,a
выкара́бкиваться,1,a
предохрани́ть,4,b
вы́свободиться,4,a
обжа́ривать,1,a
конкретизи́ровать,2,a
подмы́ть,12,a
аргументи́ровать,2,a
наверте́ть,5,c
вы́писаться,6,a
дослужи́ться,4,c
дослужи́ть,4,c
выпи́сываться,1,a
навёртывать,1,a
приписа́ться,6,c
умно́житься,4,a
гнезди́ться,4,b
народи́ть,4,b
допо́лниться,4,a
вы́плескать,6,a
обнажи́ться,4,b
перечи́слиться,4,a
вы́плескаться,6,a
въеда́ться,1,a
мно́житься,4,a
вы́плеснуться,3,a
умножа́ться,1,a
дослу́живаться,1,a
припи́сываться,1,a
дополня́ться,1,a
высвобожда́ться,1,a
нарожда́ть,1,a
дослу́живать,1,a
перечисля́ться,1,a
начини́ть,4,b
въе́сться,irreg,
предохраня́ть,1,a
нарожда́ться,1,a
стабилизи́роваться,2,a
мно́жить,4,a
обнажа́ться,1,a
наверну́ть,3,b
крахма́лить,4,a
наску́чить,4,a
навора́чивать,1,a
выплёскиваться,1,a
накру́чивать,1,a
зашифро́вывать,1,a
завози́ться,4,c
легализова́ть,2,a
народи́ться,4,b
коррели́ровать,2,a
слега́ть,1,a
увекове́чивать,1,a
кра́ситься,4,a
му́дрствовать,2,a
у́мствовать,2,a
долженствова́ть,2,a
роби́ть,4,c
обу́ться,12,a
разу́ться,12,a
тарато́рить,4,a
чади́ть,4,b
разу́ть,12,a
рассусо́ливать,1,a
разува́ться,1,a
обува́ться,1,a
я́кать,1,a
разува́ть,1,a
расхлёбывать,1,a
удруча́ть,1,a
удручи́ть,4,b
разоружи́ть,4,b
охрене́ть,1,a
гне́ваться,1,a
разоружа́ть,1,a
разгне́ваться,1,a
офиге́ть,1,a
перчи́ть,4,a
алка́ть,6,a
обурева́ть,1,a
пожина́ть,1,a
повремени́ть,4,b
пригу́бить,4,a
откати́ть,4,c
откати́ться,4,c
осознава́ться,13,b
ретирова́ться,2,a
сертифици́ровать,2,a
смокта́ть,6,c
осозна́ться,1,a
покори́ться,4,b
предреша́ть,1,a
подви́гнуть,3,a
покоря́ться,1,a
предреши́ть,4,b
заса́лить,4,a
изгла́дить,4,a
изгла́живать,1,a
отреша́ть,1,a
унифици́ровать,2,a
засоли́ть,4,c
отреши́ть,4,b
са́лить,4,a
перена́шивать,1,a
подна́шивать,1,a
нана́шивать,1,a
дона́шивать,1,a
зана́шивать,1,a
влага́ть,1,a
кедрова́ть,2,a
солоди́ть,4,b
спе́ться,12,b
бутили́ровать,2,a
пе́ниться,4,a
балде́ть,1,a
изве́дать,1,a
изве́дывать,1,a
обжива́ть,1,a
обжи́ть,16,b
экзаменова́ть,2,a
консерви́ровать,2,a
возомни́ть,4,b
безмо́лвствовать,2,a
благоволи́ть,4,b
распу́тничать,1,a
бахва́литься,4,a
плута́ть,1,a
развра́тничать,1,a
кичи́ться,4,b
блуди́ть,4,c
прелюбоде́йствовать,2,a
приласка́ть,1,a
сострада́ть,1,a
ублажи́ть,4,b
коро́бить,4,a
соболе́зновать,2,a
ублажа́ть,1,a
нормализова́ть,2,a
володе́ть,1,a
просо́хнуть,3,a
раздоса́довать,2,a
прирасти́,7,b
прочи́тывать,1,a
шушу́каться,1,a
рассоса́ться,6,b
разболе́ться,1,a
утоми́ться,4,b
утомля́ться,1,a
преста́ть,15,a
престава́ть,13,b
расши́ть,11,b
устыди́ться,4,b
беснова́ться,2,a
неи́стовствовать,2,a
формули́роваться,2,a
цо́кать,1,a
свы́кнуться,3,a
перезаряди́ться,4,c
сослага́ть,1,a
диктова́ться,2,a
пароди́ровать,2,a
рафини́ровать,2,a
клони́ровать,2,a
иммунизи́ровать,2,a
идеализи́ровать,2,a
перефрази́ровать,2,a
стерилизова́ть,2,a
сортирова́ть,2,a
реаними́ровать,2,a
бури́ть,4,b
перезаряди́ть,4,c
перезаряжа́ть,1,a
перезагрузи́ть,4,c
перезагружа́ть,1,a
сласти́ть,4,b
подсла́щивать,1,a
солости́ть,4,b
прича́ливать,1,a
прича́лить,4,a
паникова́ть,2,a
упражня́ться,1,a
ски́снуть,3,a
вмонти́ровать,2,a
взрасти́ть,4,b
скиса́ть,1,a
взра́щивать,1,a
совеща́ться,1,a
гипнотизи́ровать,2,a
покрови́тельствовать,2,a
восхваля́ть,1,a
захорони́ть,4,c
загрусти́ть,4,b
возобновля́ться,1,a
гаранти́роваться,2,a
выбра́сываться,1,a
вруча́ться,1,a
жу́льничать,1,a
выкорчёвывать,1,a
угоре́ть,5,b
кла́сться,7,b
омыва́ть,1,a
корёжить,4,a
зацвести́,7,b
ужу́хнуть,3,a
ужу́пить,4,a
ба́бить,4,a
бабу́рить,4,a
отха́ркнуть,3,a
отха́ркивать,1,a
вы́кашлять,1,a
хороше́ть,1,a
выка́шливать,1,a
пруди́ть,4,c
куси́ть,4,c
отха́ркать,1,a
о́кать,1,a
стега́ть,1,a
пыхну́ть,3,b
пы́хнуть,3,a
заци́клиться,4,a
раскоше́ливаться,1,a
раскоше́литься,4,a
совокупля́ться,1,a
сноша́ться,1,a
расщепи́ть,4,b
расщепля́ть,1,a
кня́жить,4,a
рассекре́тить,4,a
рассекре́чивать,1,a
засту́кать,1,a
отча́лить,4,a
пристрасти́ться,4,b
износи́ть,4,c
защеми́ть,4,b
размину́ться,3,b
изна́шивать,1,a
отча́ливать,1,a
пристраща́ться,1,a
искорёжить,4,a
ча́лить,4,a
перевра́ть,6,b
разанатоми́ровать,2,a
анатоми́ровать,2,a
усмири́ть,4,b
приче́сть,7,b
причи́тывать,1,a
вы́ведать,1,a
доде́лать,1,a
выве́дывать,1,a
доде́лывать,1,a
посты́нуть,3,a
обледене́ть,1,a
обледенева́ть,1,a
взгромозди́ть,4,b
ощети́нить,4,a
покриви́ть,4,b
взгромозди́ться,4,b
взгроможда́ть,1,a
ощети́ниться,4,a
покриви́ться,4,b
щети́ниться,4,a
взгроможда́ться,1,a
ощети́нивать,1,a
посты́ть,15,a
повороти́ть,4,c
свербе́ть,5,b
испаря́ть,1,a
испари́ть,4,b
приима́ть,1,a
има́ть,1,a
восприима́ть,1,a
предприима́ть,1,a
оплоша́ть,1,a
плоша́ть,1,a
предрасположи́ть,4,c
предрасполага́ть,1,a
масштаби́ровать,2,a
вальцева́ть,2,a
слезоточи́ть,4,b
утолсти́ть,4,b
утолща́ть,1,a
утолща́ться,1,a
утолсти́ться,4,b
прокача́ть,1,a
прока́чивать,1,a
остервени́ться,4,b
сиде́ться,5,b
остервене́ть,1,a
ознаменова́ться,2,a
оснаща́ться,1,a
воодушеви́ть,4,b
чура́ться,1,a
афиши́ровать,2,a
нали́чествовать,2,a
поработи́ть,4,b
разнообра́зить,4,a
воодушевля́ть,1,a
по́тчевать,2,a
порабоща́ть,1,a
перемежа́ться,1,a
вымога́ть,1,a
невзлюби́ть,4,c
инкорпори́ровать,2,a
во́лгнуть,3,a
удави́ть,4,c
уда́вливать,1,a
изыска́ть,6,c
изъясня́ть,1,a
баллоти́ровать,2,a
раздупли́ть,4,b
раздупля́ть,1,a
вколоти́ть,4,c
облагора́живать,1,a
облагоро́дить,4,a
колыхну́ть,3,b
колыха́ть,6,a
угора́ть,1,a
почкова́ться,2,a
преклони́ться,4,b
преклоня́ть,1,a
тушева́ться,2,a
тушева́ть,2,a
стреми́ть,4,b
позлати́ть,4,b
навыка́ть,1,a
сла́бнуть,3,a
ти́хнуть,3,a
хе́зать,1,a
чебура́хнуться,3,a
простреля́ть,1,a
ампути́ровать,2,a
тепли́ть,4,b
те́плить,4,a
пастеризова́ть,2,a
приплести́,7,b
зы́биться,irreg,
зы́бить,irreg,
сца́ть,irreg,
начиха́ть,1,a
лицеме́рить,4,a
изболе́ться,1,a
татуи́ровать,2,a
преуменьши́ть,4,a
низойти́,irreg,
сля́псить,4,a
ля́псить,4,a
опи́ть,11,b
опива́ть,1,a
приспи́чить,4,a
прошага́ть,1,a
профинанси́ровать,2,a
вспаха́ть,6,c
вы́черкать,1,a
нацара́пать,1,a
замини́ровать,2,a
осрами́ть,4,b
покуса́ть,1,a
засту́кивать,1,a
заче́сть,7,b
окле́ить,4,a
нацара́пывать,1,a
законсерви́ровать,2,a
заче́сться,7,b
зажда́ться,6,b
посрами́ть,4,b
перемежи́ть,4,b
зареше́чивать,1,a
восхвали́ть,4,c
засе́ять,6,a
подсо́хнуть,3,a
поче́сться,7,b
проду́ть,12,a
искорёживать,1,a
пронима́ть,1,a
окле́ивать,1,a
посрамля́ть,1,a
срами́ть,4,b
обреше́тить,4,a
перемежи́ться,4,b
посовеща́ться,1,a
обруба́ть,1,a
переболева́ть,1,a
зачита́ться,1,a
изреше́чивать,1,a
изрешети́ть,4,b
засе́ивать,1,a
стла́ться,6,c
перемежа́ть,1,a
засева́ть,1,a
продува́ть,1,a
реализо́вываться,1,a
подсыха́ть,1,a
отыгра́ться,1,a
реорганизова́ть,2,a
заме́титься,4,a
обреше́чивать,1,a
уровня́ть,1,a
оты́грываться,1,a
зареше́тить,4,b
замеча́ться,1,a
переболе́ть,1,a
ре́заться,6,a
позва́нивать,1,a
уравня́ть,1,a
изма́тывать,1,a
почита́ться,1,a
решети́ть,4,b
реше́тить,4,a
лепи́ться,4,c
вломи́ть,4,c
пони́зиться,4,a
вломи́ться,4,c
вла́мываться,1,a
проня́ть,14,b
гу́лить,4,a
прицепи́ться,4,c
подсы́пать,6,a
подсыпа́ть,1,a
понижа́ться,1,a
зачи́тываться,1,a
совмести́ться,4,b
кле́иться,4,a
сдружи́ться,4,c
сдружи́ть,4,b
сдружа́ть,1,a
совмеща́ться,1,a
уподо́бить,4,a
приткну́ть,3,b
уподо́биться,4,a
сдружа́ться,1,a
загуля́ться,1,a
пристрасти́ть,4,b
бродя́жить,4,a
уподобля́ть,1,a
приткну́ться,3,b
притыка́ть,1,a
бе́гивать,1,a
уподобля́ться,1,a
уве́риться,4,a
притыка́ться,1,a
добе́гаться,1,a
прицепля́ться,1,a
обма́зать,6,a
взмётывать,1,a
пристраща́ть,1,a
обеча́ть,1,a
ура́внивать,1,a
пристра́щивать,1,a
защемля́ть,1,a
взмета́ть,1,a
вмётывать,1,a
стели́ться,4,c
измота́ть,1,a
обруби́ть,4,c
уверя́ться,1,a
оси́явать,1,a
дезадапти́ровать,2,a
обрамля́ть,1,a
нажина́ть,1,a
выжина́ть,1,a
сжина́ть,1,a
обжина́ть,1,a
зажина́ть,1,a
обжима́ть,1,a
заскули́ть,4,b
возоблада́ть,1,a
станцева́ть,2,a
перепро́бовать,2,a
замая́чить,4,a
обобра́ть,6,b
вы́порхнуть,3,a
искове́ркать,1,a
проста́вить,4,a
втере́ть,9,b
отере́ть,9,b
заиме́ть,1,a
поиме́ть,1,a
всова́ть,2,b
отира́ть,1,a
отжина́ть,1,a
втира́ть,1,a
заглота́ть,1,a
всу́нуть,3,a
расхвали́ть,4,c
уси́живать,1,a
заполони́ть,4,b
назва́нивать,1,a
поле́чь,8,a
контакти́ровать,2,a
уме́рить,4,a
расформирова́ть,2,a
проставля́ть,1,a
выпа́рхивать,1,a
выта́птывать,1,a
замо́кнуть,3,a
усо́хнуть,3,a
зане́рвничать,1,a
усиде́ть,5,b
отвиса́ть,1,a
вве́ргнуть,3,a
умеря́ть,1,a
загла́тывать,1,a
заха́живать,1,a
заполоня́ть,1,a
вверга́ть,1,a
наигра́ть,1,a
всо́вывать,1,a
обира́ть,1,a
искове́ркивать,1,a
запры́гивать,1,a
полега́ть,1,a
замока́ть,1,a
оттеня́ть,1,a
выка́пывать,1,a
расхва́ливать,1,a
усыха́ть,1,a
наплы́ть,16,b
омы́ть,12,a
колеси́ть,4,b
умаля́ть,1,a
умертви́ть,4,b
наплыва́ть,1,a
расформиро́вывать,1,a
умали́ть,4,b
оттени́ть,4,b
отжима́ть,1,a
прислу́живать,1,a
испи́ть,11,b
улицезре́ть,5,b
прислужи́ть,4,c
проката́ть,1,a
изли́ться,11,b
умерщвля́ть,1,a
залюбова́ться,2,a
переби́ться,11,b
диагности́ровать,2,a
лицезре́ть,5,b
изре́зывать,1,a
полони́ть,4,b
аттестова́ть,2,a
излива́ться,1,a
приме́риваться,1,a
перебива́ться,1,a
приме́ривать,1,a
запры́гнуть,3,a
вы́топтать,6,a
выла́зить,4,a
вы́лазить,4,a
благоприя́тствовать,2,a
отжа́ть,14,b
тени́ть,4,b
всы́пать,6,a
всыпа́ть,1,a
наи́грывать,1,a
подкоси́ть,4,c
подка́шивать,1,a
отви́снуть,3,a
прокати́ть,4,c
изре́зать,6,a
изреза́ть,1,a
затеса́ть,6,c
вылупля́ть,1,a
вчита́ться,1,a
вжа́ть,14,b
дыша́ться,5,c
вчи́тываться,1,a
приме́риться,4,a
запыли́ться,4,b
вжа́ться,14,b
затеса́ться,6,c
коти́роваться,2,a
испива́ть,1,a
вжима́ть,1,a
лови́ться,4,c
наряди́ться,4,c
облачи́ться,4,b
вы́лупить,4,a
окупи́ться,4,c
окупи́ть,4,c
прока́тывать,1,a
вы́лупиться,4,a
пыли́ться,4,b
дроби́ться,4,b
отрабо́таться,1,a
вжима́ться,1,a
вылу́пливать,1,a
заме́длиться,4,a
перемеша́ться,1,a
вы́ветрить,4,a
облача́ться,1,a
затёсывать,1,a
отраба́тываться,1,a
округли́ться,4,b
окупа́ться,1,a
кругли́ться,4,b
раздробля́ться,1,a
затёсываться,1,a
переме́шиваться,1,a
перепла́виться,4,a
комплектова́ться,2,a
вкли́нивать,1,a
отпеча́таться,1,a
выве́тривать,1,a
перебро́ситься,4,a
вылу́пливаться,1,a
отреши́ться,4,b
замедля́ться,1,a
наряжа́ться,1,a
вылупля́ться,1,a
вы́броситься,4,a
выве́триваться,1,a
лучи́ться,4,b
отпеча́тываться,1,a
переплавля́ться,1,a
кругли́ть,4,b
перебра́сываться,1,a
вклини́ть,4,a
вклини́ться,4,a
округля́ться,1,a
отгороди́ться,4,c
занести́сь,7,b
вы́ветриться,4,a
пла́виться,4,a
зана́шиваться,1,a
заноси́ться,4,c
dɛmobilizovátʹsja,2,a
коти́ровать,2,a
встряхну́ться,3,b
подкрепи́ться,4,b
ду́ться,12,a
накаля́ться,1,a
накали́ться,4,b
