infinitive,class,stress
кача́ться,1,a
обуча́ть,1,a
изменя́ться,1,a
высыха́ть,1,a
распространя́ться,1,a
причиня́ть,1,a
дыми́ть,4,b
зака́нчивать,1,a
оцени́ть,4,c
позва́ть,6,b
вы́звать,6,a
успоко́иться,4,a
разма́хивать,1,a
зави́довать,2,a
уважа́ть,1,a
проклина́ть,1,a
толка́ть,1,a
пове́рить,4,a
связа́ть,6,c
поверну́ться,3,b
враща́ться,1,a
прове́рить,4,a
приземли́ться,4,b
запере́ть,9,b
проверя́ть,1,a
преврати́ться,4,b
приземля́ться,1,a
запира́ть,1,a
побледне́ть,1,a
ве́рить,4,a
крести́ться,4,c
случи́ться,4,b
согласи́ться,4,b
спо́рить,4,a
соглаша́ться,1,a
зева́ть,1,a
досажда́ть,1,a
подожда́ть,6,b
сража́ться,1,a
поверну́ть,3,b
мастурби́ровать,2,a
наслажда́ться,1,a
мухлева́ть,2,a
удиви́ть,4,b
наслади́ться,4,b
сня́ть,14,c
искажа́ть,1,a
сса́ть,irreg,
наде́яться,6,a
подписа́ть,6,c
грести́,7,b
удивля́ть,1,a
госпо́дствовать,2,a
пра́вить,4,a
шлёпнуть,3,a
конкури́ровать,2,a
соревнова́ться,2,a
шлёпать,1,a
крути́ть,4,c
ста́вить,4,a
пропусти́ть,4,c
жестикули́ровать,2,a
меша́ть,1,a
осуществля́ть,1,a
обеща́ть,1,a
насчи́тывать,1,a
откры́ться,12,a
наси́ловать,2,a
сотка́ть,6,b
воева́ть,2,a
открыва́ться,1,a
сплести́,7,b
посеща́ть,1,a
бомби́ть,4,b
пои́ть,4,c
тка́ть,6,b
сра́ть,6,b
па́дать,1,a
просну́ться,3,b
оста́вить,4,a
клева́ть,2,b
би́ться,11,b
дра́ться,6,b
опережа́ть,1,a
поки́нуть,3,a
продава́ть,13,b
аплоди́ровать,2,a
останови́ть,4,c
перестава́ть,13,b
лиди́ровать,2,a
лома́ться,1,a
уха́живать,1,a
пока́зывать,1,a
прекраща́ться,1,a
прожива́ть,1,a
остана́вливаться,1,a
прекрати́ть,4,b
остана́вливать,1,a
коллекциони́ровать,2,a
прекраща́ть,1,a
собира́ть,1,a
оставля́ть,1,a
замерза́ть,1,a
па́хнуть,3,a
пахну́ть,3,b
замёрзнуть,3,a
куса́ть,1,a
забо́титься,4,a
гну́ть,3,b
корми́ть,4,c
обвини́ть,4,b
топи́ть,4,c
сравни́ть,4,b
спаса́ть,1,a
появля́ться,1,a
колеба́ться,6,a
перемеща́ть,1,a
швартова́ть,2,a
прибыва́ть,1,a
му́сорить,4,a
походи́ть,4,c
отрица́ть,1,a
прибы́ть,irreg,
зажива́ть,1,a
извиня́ть,1,a
ожива́ть,1,a
вы́дать,irreg,
доста́вить,4,a
противоре́чить,4,a
вышива́ть,1,a
танцева́ть,2,a
изнуря́ть,1,a
вспомина́ть,1,a
оскорбля́ть,1,a
транспланти́ровать,2,a
предупреди́ть,4,b
окружи́ть,4,b
спеши́ть,4,b
спе́шить,4,a
воркова́ть,2,a
лечи́ть,4,c
предупрежда́ть,1,a
сра́внивать,1,a
измеря́ть,1,a
изме́рять,1,a
проли́ть,11,b
дви́гать,1,a
ме́рить,4,a
страда́ть,6,a
избега́ть,1,a
избе́гать,1,a
ползти́,7,b
ре́зать,6,a
лиза́ть,6,c
спасти́,7,b
сове́товать,2,a
што́пать,1,a
се́ять,6,a
резерви́ровать,2,a
представля́ть,1,a
достава́ть,13,b
анализи́ровать,2,a
доста́ть,15,a
ныря́ть,1,a
облича́ть,1,a
ороша́ть,1,a
огра́бить,4,a
крести́ть,4,c
слоня́ться,1,a
испра́вить,4,a
ве́шать,1,a
висе́ть,5,b
объясня́ть,1,a
арестова́ть,2,a
аресто́вывать,1,a
ткну́ть,3,b
поло́ть,10,c
предпочита́ть,1,a
отрыва́ть,1,a
подли́зываться,1,a
гро́хнуться,3,a
щекота́ть,6,c
объедини́ть,4,b
оглаша́ть,1,a
объявля́ть,1,a
соединя́ть,1,a
подсчи́тывать,1,a
разводи́ть,4,c
нужда́ться,1,a
ка́шлять,1,a
стреми́ться,4,b
вы́глядеть,5,a
пульси́ровать,2,a
вы́нудить,4,a
повтори́ть,4,b
повторя́ть,1,a
прерыва́ть,1,a
колонизи́ровать,2,a
повреди́ть,4,b
украша́ть,1,a
ремонти́ровать,2,a
сверга́ть,1,a
заряжа́ть,1,a
деклари́ровать,2,a
бри́ть,12,a
броди́ть,4,c
утри́ровать,2,a
обнима́ться,1,a
утеша́ть,1,a
-,6,a
полоска́ть,6,c
свисте́ть,5,b
похуде́ть,1,a
сбро́сить,4,a
проигра́ть,1,a
прои́грывать,1,a
критикова́ть,2,a
нача́ть,14,b
пу́тать,1,a
возвраща́ться,1,a
бры́згать,1,a
гры́зть,7,b
зре́ть,1,a
вздра́гивать,1,a
кле́ить,4,a
сверли́ть,4,b
зимова́ть,2,a
скользи́ть,4,b
клевета́ть,6,c
наклоня́ть,1,a
порожда́ть,1,a
реши́ть,4,b
коке́тничать,1,a
упрека́ть,1,a
укоря́ть,1,a
дари́ть,4,b
хвата́ть,1,a
заня́ть,14,b
кара́бкаться,1,a
увести́,7,b
произвести́,7,b
завести́,7,b
извести́,7,b
выпива́ть,1,a
перегиба́ть,1,a
вы́мереть,9,a
скла́дывать,1,a
вымира́ть,1,a
брести́,7,b
волочи́ть,4,b
влюби́ться,4,c
ассимили́ровать,2,a
редакти́ровать,2,a
осно́вывать,1,a
разъединя́ть,1,a
отделя́ть,1,a
основа́ть,2,b
разблоки́ровать,2,a
отсу́тствовать,2,a
коло́ть,10,c
повести́,7,b
дои́ть,4,c
дерза́ть,1,a
сме́ть,1,a
заве́рить,4,a
донести́,7,b
ёрзать,1,a
поступа́ть,1,a
бу́лькать,1,a
журча́ть,5,b
припасти́,7,b
сига́ть,1,a
довести́,7,b
гаранти́ровать,2,a
расплести́,7,b
развести́,7,b
позволя́ть,1,a
позво́лить,4,a
заткну́ться,3,b
взгляну́ть,3,c
ора́ть,6,b
обнару́жить,4,a
обнару́живать,1,a
упасти́,7,b
наста́ивать,1,a
инициализи́ровать,2,a
гла́дить,4,a
чи́стить,4,a
помере́ть,9,b
умере́ть,9,b
зажига́ть,1,a
вы́брать,6,a
избра́ть,6,b
избира́ть,1,a
сожале́ть,1,a
подкупа́ть,1,a
ку́шать,1,a
употребля́ть,1,a
наня́ть,14,b
нанима́ть,1,a
шепну́ть,3,b
утра́чивать,1,a
гада́ть,1,a
шепта́ть,6,c
уничтожа́ть,1,a
плати́ть,4,c
пожени́ться,4,c
помеща́ть,1,a
облада́ть,1,a
владе́ть,1,a
заса́ливать,1,a
жени́ться,4,c
нары́ть,12,a
подры́ть,12,a
вы́рыть,12,a
отры́ть,12,a
изгиба́ть,1,a
прорыва́ть,1,a
руководи́ть,4,b
скрыва́ть,1,a
заставля́ть,1,a
извини́ть,4,b
напомина́ть,1,a
успока́иваться,1,a
прости́ть,4,b
интерпрети́ровать,2,a
избежа́ть,5,b
раздева́ться,1,a
закрича́ть,5,b
раздева́ть,1,a
вербова́ть,2,a
получа́ть,1,a
нача́ться,14,b
начина́ться,1,a
усугубля́ть,1,a
вы́полнить,4,a
бро́ситься,4,a
верну́ться,3,b
встре́титься,4,a
сойти́,irreg,
дрожа́ть,5,b
получи́ть,4,c
оказа́ться,6,c
уйти́,irreg,
начина́ть,1,a
гляде́ть,5,b
возбужда́ть,1,a
тра́тить,4,a
успе́ть,1,a
устро́ить,4,a
услы́шать,5,a
удиви́ться,4,b
уда́ться,irreg,
улыбну́ться,3,b
сда́ться,irreg,
обороня́ть,1,a
лепета́ть,6,c
разгова́ривать,1,a
доби́ться,11,b
мечта́ть,1,a
молча́ть,5,b
кри́кнуть,3,a
вы́ступить,4,a
ока́зываться,1,a
отда́ть,irreg,
останови́ться,4,c
выступа́ть,1,a
обрати́ться,4,b
доказа́ть,6,c
выходи́ть,4,c
вы́ходить,4,a
жа́ждать,6,a
научи́ться,4,c
сообща́ть,1,a
подмета́ть,1,a
назва́ть,6,b
называ́ть,1,a
называ́ться,1,a
тра́хать,1,a
накопи́ть,4,c
упомина́ть,1,a
здра́вствовать,2,a
забы́ть,irreg,
зайти́,irreg,
вы́стрелить,4,a
рожа́ть,1,a
станови́ться,4,c
ката́ться,1,a
поддержа́ть,5,c
поста́вить,4,a
тере́ть,9,b
стреля́ть,1,a
фикси́ровать,2,a
гуля́ть,1,a
собира́ться,1,a
заговори́ть,4,b
дати́ровать,2,a
перепры́гивать,1,a
выде́рживать,1,a
измени́ться,4,c
забыва́ть,1,a
показа́ться,6,c
меня́ться,1,a
разру́шить,4,a
меня́ть,1,a
обсуди́ть,4,c
отрази́ть,4,b
вреди́ть,4,b
существова́ть,2,a
именова́ть,2,a
доба́вить,4,a
растро́гать,1,a
улыба́ться,1,a
убежда́ть,1,a
вяза́ть,6,c
привести́,7,b
трясти́,7,b
узнава́ть,13,b
стере́ть,9,b
нажима́ть,1,a
уменьши́ться,4,a
насчита́ть,1,a
предви́деть,5,a
оде́ть,15,a
умоля́ть,1,a
субсиди́ровать,2,a
вы́ть,12,a
перенести́,7,b
шоки́ровать,2,a
развева́ться,1,a
собра́ть,6,b
собра́ться,6,b
включи́ть,4,b
сообщи́ть,4,b
дре́йфить,4,a
хло́пать,1,a
эксгуми́ровать,2,a
выселя́ть,1,a
грози́ть,4,b
иссуша́ть,1,a
обраща́ться,1,a
отража́ть,1,a
объединя́ться,1,a
взлете́ть,5,b
взлета́ть,1,a
засну́ть,3,b
добыва́ть,1,a
кива́ть,1,a
привыка́ть,1,a
привы́кнуть,3,a
гро́кнуть,3,a
добавля́ть,1,a
деклами́ровать,2,a
баю́кать,1,a
протестова́ть,2,a
уча́ствовать,2,a
подойти́,irreg,
приближа́ться,1,a
состоя́ться,5,b
процвета́ть,1,a
сворова́ть,2,a
развлека́ться,1,a
переду́мать,1,a
ложи́ться,4,b
хвали́ть,4,c
догна́ть,5,c
болта́ть,1,a
чеса́ть,6,c
икну́ть,3,b
ика́ть,1,a
и́кать,1,a
стуча́ть,5,b
пуска́ть,1,a
пройти́,irreg,
пя́литься,4,a
глазе́ть,1,a
усну́ть,3,b
поздравля́ть,1,a
ле́чь,8,a
вме́шиваться,1,a
призна́ть,1,a
полага́ть,1,a
дрема́ть,6,c
изобрета́ть,1,a
изобрести́,7,b
тяну́ть,3,c
фы́ркать,1,a
сочу́вствовать,2,a
увлека́ться,1,a
халту́рить,4,a
переноси́ть,4,c
стира́ть,1,a
напра́вить,4,a
сопротивля́ться,1,a
покрасне́ть,1,a
кря́кать,1,a
гу́глить,4,a
порасти́,7,b
заеба́ть,6,b
сжима́ть,1,a
соса́ть,6,b
